gfsCode,revStreamName,agencyName,companyName,year,payment,paymentUSD
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Aum,2012,14302e3,10594.623424918329
1151E,1.1.2 Customs tax,Customs Office,Aum,2012,415742e3,307973.0060077189
116E,1.6.4 Other (State Budget),Other,Aum,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Aum,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Aum,2012,82959e3,61454.29763024749
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Aum,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Aum,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Aum,2012,115462e3,85531.84239182773
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Aum,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Aum,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Aum,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Aum,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Aum,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Aum,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Aum,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Aum,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Aum,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Aum,2012,0,0
1421E,Service charges paid to local administration,Not available,Aum,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Aum,2012,1111100,823.0797152444941
1421E,Service fee for foreign experts and workers,Not available,Aum,2012,42e3,31.112724363485512
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Aum,2012,1811e4,13415.510433874348
1422E,1.3.1 Customs service fee,Customs Office,Aum,2012,793e3,587.4378671486669
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Aum,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Aum,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Aum,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Aum,2012,13478e3,9984.221404072803
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Aum,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Aum,2012,93638e3,69365.07818923944
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Aum,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Aum,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Aum,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Aum,2012,1e7,7407.7915151155985
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Baganuur LLC,2012,1002e3,742.2607098145829
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Baganuur LLC,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Baganuur LLC,2012,97825e3,72466.72049661833
113E,2.2.1 Land fee,Local Department of Taxation,Baganuur LLC,2012,2534e5,187713.43699302926
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Baganuur LLC,2012,2598994e3,1925280.5701036348
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Baganuur LLC,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Baganuur LLC,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Baganuur LLC,2012,143874e3,106578.85964457416
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Baganuur LLC,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Baganuur LLC,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Baganuur LLC,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Baganuur LLC,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Baganuur LLC,2012,16382e3,12135.444060062373
1151E,1.1.2 Customs tax,Customs Office,Baganuur LLC,2012,140665e3,104201.69934737356
116E,1.6.4 Other (State Budget),Other,Baganuur LLC,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Baganuur LLC,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Baganuur LLC,2012,3272999e3,2424569.4221181837
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Baganuur LLC,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Baganuur LLC,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Baganuur LLC,2012,188163e4,1393872.2748586964
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Baganuur LLC,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Baganuur LLC,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Baganuur LLC,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Baganuur LLC,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Baganuur LLC,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Baganuur LLC,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Baganuur LLC,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Baganuur LLC,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Baganuur LLC,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Baganuur LLC,2012,0,0
1421E,Service charges paid to local administration,Not available,Baganuur LLC,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Baganuur LLC,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Baganuur LLC,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Baganuur LLC,2012,23545e3,17441.645122339676
1422E,1.3.1 Customs service fee,Customs Office,Baganuur LLC,2012,154e3,114.07998933278022
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Baganuur LLC,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Baganuur LLC,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Baganuur LLC,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Baganuur LLC,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Baganuur LLC,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Baganuur LLC,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Baganuur LLC,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Baganuur LLC,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Baganuur LLC,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Baganuur LLC,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,BADMAARAG KHASH,2012,4e5,296.3116606046239
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",BADMAARAG KHASH,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,BADMAARAG KHASH,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,BADMAARAG KHASH,2012,15e5,1111.1687272673398
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,BADMAARAG KHASH,2012,374e4,2770.514026653234
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,BADMAARAG KHASH,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,BADMAARAG KHASH,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,BADMAARAG KHASH,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,BADMAARAG KHASH,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,BADMAARAG KHASH,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,BADMAARAG KHASH,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",BADMAARAG KHASH,2012,192455e3,142566.65160415723
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,BADMAARAG KHASH,2012,223e3,165.19375078707785
1151E,1.1.2 Customs tax,Customs Office,BADMAARAG KHASH,2012,1781e3,1319.327668842088
116E,1.6.4 Other (State Budget),Other,BADMAARAG KHASH,2012,0,0
116E,2.5.4 Other (Local Budget),Other,BADMAARAG KHASH,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,BADMAARAG KHASH,2012,13483e3,9987.925299830362
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,BADMAARAG KHASH,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,BADMAARAG KHASH,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,BADMAARAG KHASH,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,BADMAARAG KHASH,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,BADMAARAG KHASH,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,BADMAARAG KHASH,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,BADMAARAG KHASH,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,BADMAARAG KHASH,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,BADMAARAG KHASH,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,BADMAARAG KHASH,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,BADMAARAG KHASH,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,BADMAARAG KHASH,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,BADMAARAG KHASH,2012,0,0
1421E,Service charges paid to local administration,Not available,BADMAARAG KHASH,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,BADMAARAG KHASH,2012,401166,297.1754090952864
1421E,Service fee for foreign experts and workers,Not available,BADMAARAG KHASH,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,BADMAARAG KHASH,2012,6495e4,48113.60589067581
1422E,1.3.1 Customs service fee,Customs Office,BADMAARAG KHASH,2012,7e3,5.185454060580919
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,BADMAARAG KHASH,2012,0,0
1422E,Stamp fee paid to local budget,Not available,BADMAARAG KHASH,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,BADMAARAG KHASH,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,BADMAARAG KHASH,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,BADMAARAG KHASH,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",BADMAARAG KHASH,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",BADMAARAG KHASH,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,BADMAARAG KHASH,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,BADMAARAG KHASH,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,BADMAARAG KHASH,2012,13e7,96301.28969650278
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Batu mining mongol,2012,0,0
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Batu mining mongol,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Batu mining mongol,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Batu mining mongol,2012,0,0
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Batu mining mongol,2012,0,0
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Batu mining mongol,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Batu mining mongol,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Batu mining mongol,2012,0,0
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Batu mining mongol,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Batu mining mongol,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Batu mining mongol,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Batu mining mongol,2012,23e5,1703.7920484765875
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Batu mining mongol,2012,0,0
1151E,1.1.2 Customs tax,Customs Office,Batu mining mongol,2012,0,0
116E,1.6.4 Other (State Budget),Other,Batu mining mongol,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Batu mining mongol,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Batu mining mongol,2012,12415e3,9196.773166016015
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Batu mining mongol,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Batu mining mongol,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Batu mining mongol,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Batu mining mongol,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Batu mining mongol,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Batu mining mongol,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Batu mining mongol,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Batu mining mongol,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Batu mining mongol,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Batu mining mongol,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Batu mining mongol,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Batu mining mongol,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Batu mining mongol,2012,0,0
1421E,Service charges paid to local administration,Not available,Batu mining mongol,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Batu mining mongol,2012,6688934,4955.022853036824
1421E,Service fee for foreign experts and workers,Not available,Batu mining mongol,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Batu mining mongol,2012,183908e3,136235.21219618793
1422E,1.3.1 Customs service fee,Customs Office,Batu mining mongol,2012,0,0
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Batu mining mongol,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Batu mining mongol,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Batu mining mongol,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Batu mining mongol,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Batu mining mongol,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Batu mining mongol,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Batu mining mongol,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Batu mining mongol,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Batu mining mongol,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Batu mining mongol,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Bayalag ord LLC,2012,255e5,18889.868363544774
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Bayalag ord LLC,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Bayalag ord LLC,2012,1072e3,794.1152504203922
113E,2.2.1 Land fee,Local Department of Taxation,Bayalag ord LLC,2012,2235e3,1655.641403628336
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Bayalag ord LLC,2012,38159e3,28267.391642529612
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Bayalag ord LLC,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Bayalag ord LLC,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Bayalag ord LLC,2012,3447e3,2553.4657352603467
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Bayalag ord LLC,2012,0,0
114521E,Fee for forestry use and fire wood,Not available,Bayalag ord LLC,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Bayalag ord LLC,2012,106e5,7852.259006022534
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Bayalag ord LLC,2012,0,0
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Bayalag ord LLC,2012,0,0
1151E,1.1.2 Customs tax,Customs Office,Bayalag ord LLC,2012,7433e3,5506.2114331854245
116E,1.6.4 Other (State Budget),Other,Bayalag ord LLC,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Bayalag ord LLC,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Bayalag ord LLC,2012,34175e3,25316.12750290756
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Bayalag ord LLC,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Bayalag ord LLC,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Bayalag ord LLC,2012,13658e3,10117.561651344884
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Bayalag ord LLC,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Bayalag ord LLC,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Bayalag ord LLC,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Bayalag ord LLC,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Bayalag ord LLC,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Bayalag ord LLC,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Bayalag ord LLC,2012,20974e3,15537.101923803455
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Bayalag ord LLC,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Bayalag ord LLC,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Bayalag ord LLC,2012,0,0
1421E,Service charges paid to local administration,Not available,Bayalag ord LLC,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Bayalag ord LLC,2012,0,0
1421E,Service fee for foreign experts and workers,Not available,Bayalag ord LLC,2012,0,0
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Bayalag ord LLC,2012,5e5,370.3895757557799
1422E,1.3.1 Customs service fee,Customs Office,Bayalag ord LLC,2012,57e3,42.22441163615891
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Bayalag ord LLC,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Bayalag ord LLC,2012,0,0
1422E,Stamp fees paid to state central administration and ministries,Not available,Bayalag ord LLC,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Bayalag ord LLC,2012,0,0
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Bayalag ord LLC,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Bayalag ord LLC,2012,702e3,520.026964361115
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Bayalag ord LLC,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Bayalag ord LLC,2012,0,0
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Bayalag ord LLC,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Bayalag ord LLC,2012,0,0
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Bayan Airag Exploration,2012,63844e3,47294.30414910403
1112E2,1.6.3 Windfall tax,"Mineral Resources Authority, Petroleum Authority",Bayan Airag Exploration,2012,0,0
113E,2.1.1 Real estate tax,Local Department of Taxation,Bayan Airag Exploration,2012,0,0
113E,2.2.1 Land fee,Local Department of Taxation,Bayan Airag Exploration,2012,22e5,1629.7141333254317
1141E,1.1.3 VAT - Value Added Tax,General Department of Taxation,Bayan Airag Exploration,2012,743128e3,550493.7293044825
1141E,1.1.5 Tax on vehicle's gasoline and diesel fuel,Customs Office,Bayan Airag Exploration,2012,0,0
1142E,1.1.4 Excise tax on vehicle's gasoline and diesel fuel,Customs Office,Bayan Airag Exploration,2012,0,0
114521E,2.2.2 Fee for water use,Local Department of Taxation,Bayan Airag Exploration,2012,22872e3,16943.100753372397
114521E,2.2.3 Fee for use of wide spread mineral resources,Local Department of Taxation,Bayan Airag Exploration,2012,15284e3,11322.06855170268
114521E,Fee for forestry use and fire wood,Not available,Bayan Airag Exploration,2012,0,0
114522E,1.2.11 Fee for air pollution (for only coal extracting companies),General Department of Taxation,Bayan Airag Exploration,2012,0,0
114522E,2.5.3 Contribution (deposit) at rate of 50% to Environmental protection special account,"Ministry of Environment, Green development and Tourism",Bayan Airag Exploration,2012,565e4,4185.402206040313
11451E,2.1.2 Tax on vehicles and self-moving mechanisms,Local Department of Taxation,Bayan Airag Exploration,2012,2849e3,2110.479802656434
1151E,1.1.2 Customs tax,Customs Office,Bayan Airag Exploration,2012,344033e3,254852.47383197647
116E,1.6.4 Other (State Budget),Other,Bayan Airag Exploration,2012,0,0
116E,2.5.4 Other (Local Budget),Other,Bayan Airag Exploration,2012,0,0
1212E,1.2.12 Social and health insurance charges paid from entity,General Department of Social Insurance,Bayan Airag Exploration,2012,920751e3,682073.1445334202
1412E2,1.4.1 Dividends on State Property,Ministry of Finance,Bayan Airag Exploration,2012,0,0
1412E2,2.4.1 Dividends on Local Property,Ministry of Finance,Bayan Airag Exploration,2012,0,0
1415E1,1.2.1 Fee and extra charges for exploitation of mineral resources,General Department of Taxation,Bayan Airag Exploration,2012,0,0
1415E1,"1.5.4 Royalty 
(otherwise part of 1.5.3 Petroleum income according to Product sharing agreement)",Ministry of Finance,Bayan Airag Exploration,2012,0,0
1415E2,1.2.5 Bonus after signing Product Sharing Agreement,Not available,Bayan Airag Exploration,2012,0,0
1415E2,1.2.7 Bonus for training,Not available,Bayan Airag Exploration,2012,0,0
1415E31,1.5.1 Advance payments to Government,Ministry of Finance,Bayan Airag Exploration,2012,0,0
1415E31,1.5.3 Petroleum income according to Product sharing agreement,Ministry of Finance,Bayan Airag Exploration,2012,0,0
1415E31,2.2.5 Support activities from oil companies to local budget (according to agreement),Petroleum Authority,Bayan Airag Exploration,2012,0,0
1415E31,"1.2.3 Payment for deposit, exploration carried out by Government",Mineral Resources Authority,Bayan Airag Exploration,2012,0,0
1415E31,1.2.8 Field deposit according to pledge area under the Production Sharing Agreement,Mineral Resources Authority,Bayan Airag Exploration,2012,0,0
1421E,1.2.9 Administration and service charges in accordance with Production Sharing Agreement,Petroleum Authority,Bayan Airag Exploration,2012,0,0
1421E,1.2.10 Fee for supporting field office in according to Production Sharing Agreement,Not available,Bayan Airag Exploration,2012,0,0
1421E,Service charges paid to local administration,Not available,Bayan Airag Exploration,2012,0,0
1421E,Service fees paid to state central administration and ministries,Not available,Bayan Airag Exploration,2012,260339.99999999997,192.85444430451946
1421E,Service fee for foreign experts and workers,Not available,Bayan Airag Exploration,2012,17e3,12.593245575696518
1422E,1.2.2License fee for exploitation and exploration of mineral resources,Mineral Resources Authority,Bayan Airag Exploration,2012,213042e3,157817.0719963257
1422E,1.3.1 Customs service fee,Customs Office,Bayan Airag Exploration,2012,1913e3,1417.1105168416138
1422E,"Stamp fee for licensing possess, utilization, sale, montage, place, rent, produce, decommission, demontage, store, transport, import, export of nuclear generator, dump treatment, deactivate and other related activities, and revenues.",Not available,Bayan Airag Exploration,2012,0,0
1422E,Stamp fee paid to local budget,Not available,Bayan Airag Exploration,2012,24e4,177.78699636277435
1422E,Stamp fees paid to state central administration and ministries,Not available,Bayan Airag Exploration,2012,0,0
1422E,1.2.4 Payment for recruiting foreign experts and workers (State Budget),Ministry of Labour,Bayan Airag Exploration,2012,32854e3,24337.558243760788
1422E,2.2.4 Payment for recruiting foreign experts and workers (Local Budget),Local Department of Taxation,Bayan Airag Exploration,2012,0,0
143E,1.6.1 Penalty (to state),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Bayan Airag Exploration,2012,0,0
143E,1.6.2 Compensation (to State Budget),"General Tax Office, Specialised Inspection Organistaion & State Social Insurance office",Bayan Airag Exploration,2012,0,0
143E,2.5.1 Penalty (to Local budget),Local Department of Taxation,Bayan Airag Exploration,2012,7003e3,5187.6763980354535
143E,2.5.2 Compensation (to Local Budget),Local Department of Taxation,Bayan Airag Exploration,2012,0,0
144E1,3. Donationa and assistance paid to state entities,Ministries and Agencies,Bayan Airag Exploration,2012,1e8,74077.91515115598
1112E1,1.1.1 Corporate income tax,General Department of Taxation,Bayantegsh impex,2012,1579e3,1169.6902802367529
